simulation,final_pnl
413,10.04195782259491
414,9.331709777505822
415,-38.217852217306444
416,6.3678710681828505
417,18.746470547106853
418,37.19428941579031
419,9.338324680088519
420,-18.75199428108057
421,0.0
422,0.0
423,-37.8623272974921
424,8.405894430057316
425,12.711362911144263
426,10.263103951949603
427,9.901012959037871
428,10.479676807320232
429,15.807656009210149
430,0.0
431,4.643740894406648
432,11.95584907650003
433,8.463533396960145
434,16.406803202869753
435,6.958240551041172
436,0.0
437,14.737305065132034
438,0.0
439,10.154394073799352
440,13.502464042127585
441,18.096190164043037
442,36.452427127111775
443,8.412742308622882
444,4.802342570156071
445,0.0
446,19.238860395279772
447,10.183402532118919
448,8.998414439331384
449,9.19481668366926
450,11.20460464895065
451,0.0
452,9.867955792789672
453,13.539986425647186
454,9.411335838737273
455,11.584161649065706
456,35.381889487195735
457,8.964742994026182
458,8.9755089096262
459,12.60489625941193
460,-6.377307447198689
461,4.758284087784688
462,36.06756069382601
463,-38.71198219315125
464,13.388907170093674
465,9.971493225003684
466,4.911881184701301
467,10.883460999282107
468,5.105700314080849
469,12.37381456722946
470,12.326473090816705
471,10.970645662242518
472,11.452305490314458
473,8.737384787315136
474,6.620496291112005
475,9.265320829365862
476,-12.237334762669335
477,10.470396181931065
478,0.0
479,12.958915489150698
480,11.09600413619252
481,7.6758821397613985
482,-7.60252017263312
483,10.198469975720542
484,0.0
485,0.0
486,0.0
487,18.728511950559167
488,0.0
489,9.050891696592885
490,6.146832527025836
491,8.842123103750822
492,10.735448781960073
493,9.620397976283257
494,11.415781344275459
495,-31.604857744903413
496,-35.953821700822445
497,10.607612330362059
498,13.189401457746357
499,-36.08190834136167
500,-8.050762941849214
501,10.913175442080899
502,-17.62572525404542
503,-8.988409058404386
504,0.0
505,0.0
506,3.2997969060454295
507,13.380104344636337
508,-29.93974806830755
509,12.23194143428934
510,11.59165189669207
511,8.65404416254053
512,-37.57174797713239
513,5.360796819196352
514,10.472825485350256
515,5.089711619984556
516,0.0
517,0.0
518,-38.24110914657627
519,9.42994854251657
520,0.0
521,11.686587105393798
522,10.010142267934782
523,11.271930257118058
524,10.640657388047913
525,9.059291600618451
526,0.0
527,5.062021299298252
528,11.40634966533139
529,15.103036276579445
530,5.108037758276907
531,8.56933301536003
532,9.773182722444702
533,9.268506713556675
534,8.82486316018037
535,38.442778945206726
536,5.402978358422203
537,8.857029957056739
538,19.09393987644627
539,23.21400799626865
540,9.956996681680408
541,0.0
542,9.740543213325253
543,-7.269149382324841
544,-10.30518138831809
545,11.496889821523666
546,13.66183034295392
547,8.837240086998193
548,11.040286906917089
549,12.482669423220798
550,0.0
551,4.764485051888585
552,6.05430980626609
553,19.156209404339123
554,10.081666179929869
555,2.3675653731437905
556,9.829081821493489
557,7.602390499781848
558,11.51890674117169
559,8.472791269977193
560,0.0
561,5.351684918865658
562,10.384828431016246
563,8.785123379319828
564,0.0
565,-35.575079347294036
566,19.429586238283648
567,5.355908474577873
568,10.390594803077661
569,18.300565581139566
570,18.313766137617336
571,-7.382497614811911
572,0.0
573,13.606702187575578
574,5.426186433027368
575,17.73342494869911
576,4.774220270759287
577,5.716810157470576
578,0.0
579,19.284549901995717
580,-6.70757184724377
581,37.04831659034335
582,11.353966776245969
583,4.340249089350564
584,0.0
585,13.121595643810053
586,17.154444204874892
587,12.055025965129033
588,0.0
589,10.044852807395046
590,5.556929935281474
591,-36.60495569516105
592,11.35554898377194
593,10.75869684314651
594,-0.06312653984981864
595,7.311164858149567
596,7.078737665997693
597,38.488116009140356
598,18.348911997912722
599,11.055232038659938
600,9.325598431227931
601,6.731979057125045
602,8.469915952098148
603,9.036557295726226
604,-8.98506798977678
605,10.094114596267673
606,0.0
607,9.791153481239846
608,11.942201467670344
609,0.0
610,-39.69450649198419
611,17.95129888942722
612,11.264689780848144
613,17.97114916954942
